Education Level,Years of Experience,Location,Industry,Job Title,Job Type,Salary
PhD,16,Rural,Education,Software Engineer,Remote,72890.64
Master's Degree,21,Rural,Finance,Others,Onsite,71678.18
Bachelor's Degree,23,Rural,Tech,Accountant,Hybrid,73834.25
Master's Degree,17,Rural,Finance,Medical Assistant,Onsite,67855.18
Master's Degree,24,Suburban,Tech,Others,Hybrid,81948.0
Bachelor's Degree,25,Rural,Education,Financial Analyst,Remote,76616.68
High School,19,Urban,Education,Accountant,Onsite,59009.47
PhD,21,Rural,Healthcare,UX Designer,Remote,90364.21
PhD,18,Rural,Tech,System Administrator,Hybrid,73129.99
Master's Degree,5,Urban,Tech,Software Engineer,Remote,56698.74
Bachelor's Degree,20,Rural,Finance,Web Developer,Hybrid,62038.03
Master's Degree,23,Suburban,Tech,Web Developer,Onsite,70180.05
Master's Degree,30,Urban,Education,UX Designer,Onsite,87869.83
Master's Degree,3,Suburban,Finance,Project Manager,Remote,52039.36
Bachelor's Degree,37,Suburban,Finance,Financial Analyst,Hybrid,100716.6
Master's Degree,4,Rural,Finance,Project Manager,Onsite,54098.06
PhD,32,Urban,Education,Software Engineer,Hybrid,93932.64
Bachelor's Degree,10,Suburban,Education,HR Manager,Onsite,50692.54
High School,5,Rural,Education,Accountant,Remote,45531.46
High School,36,Urban,Tech,Financial Analyst,Onsite,83115.54
Master's Degree,23,Rural,Healthcare,Medical Assistant,Hybrid,71701.29
High School,10,Urban,Finance,Others,Onsite,54525.13
Master's Degree,0,Rural,Education,UX Designer,Onsite,37027.42
Bachelor's Degree,34,Urban,Tech,System Administrator,Onsite,90941.64
Master's Degree,13,Rural,Finance,Professor,Remote,61148.98
PhD,7,Suburban,Education,Medical Assistant,Remote,63238.08
Bachelor's Degree,32,Suburban,Healthcare,Software Engineer,Remote,79947.49
Bachelor's Degree,13,Urban,Education,UX Designer,Onsite,48432.95
Master's Degree,5,Rural,Healthcare,Web Developer,Onsite,43125.97
Master's Degree,28,Urban,Education,Web Developer,Onsite,81998.14
PhD,28,Rural,Tech,Software Engineer,Remote,94151.68
Bachelor's Degree,3,Rural,Finance,Accountant,Remote,38219.58
Master's Degree,9,Urban,Finance,Project Manager,Remote,57150.63
High School,7,Urban,Tech,Professor,Remote,40606.18
Bachelor's Degree,26,Suburban,Healthcare,Medical Assistant,Hybrid,70131.05
Master's Degree,9,Rural,Finance,UX Designer,Onsite,47276.73
Master's Degree,25,Rural,Healthcare,Others,Hybrid,78402.65
High School,32,Suburban,Education,Others,Onsite,91217.86
PhD,35,Urban,Education,System Administrator,Onsite,100751.22
Bachelor's Degree,8,Rural,Healthcare,UX Designer,Remote,44301.23
Bachelor's Degree,10,Suburban,Tech,System Administrator,Remote,50987.74
Master's Degree,0,Suburban,Finance,Web Developer,Onsite,37854.31
PhD,14,Urban,Healthcare,Financial Analyst,Remote,76354.98
High School,25,Urban,Healthcare,Professor,Remote,69586.0
Bachelor's Degree,10,Rural,Finance,Web Developer,Hybrid,54202.64
PhD,23,Urban,Healthcare,Professor,Hybrid,81307.54
High School,23,Urban,Tech,HR Manager,Hybrid,63137.66
High School,6,Urban,Education,Financial Analyst,Remote,40724.45
PhD,21,Suburban,Tech,UX Designer,Remote,74198.71
Bachelor's Degree,22,Suburban,Healthcare,UX Designer,Onsite,62410.27
Bachelor's Degree,31,Rural,Tech,Software Engineer,Remote,89930.53
Master's Degree,17,Urban,Finance,Medical Assistant,Onsite,65527.09
Bachelor's Degree,1,Rural,Education,Software Engineer,Hybrid,44458.59
PhD,0,Urban,Healthcare,Web Developer,Onsite,46910.38
PhD,9,Rural,Healthcare,Data Analyst,Remote,66178.39
High School,2,Suburban,Healthcare,UX Designer,Hybrid,39357.78
High School,36,Suburban,Healthcare,Software Engineer,Onsite,88309.83
PhD,13,Rural,Healthcare,Professor,Remote,70617.0
Bachelor's Degree,20,Rural,Healthcare,Web Developer,Hybrid,66630.67
PhD,17,Rural,Tech,System Administrator,Onsite,64244.43
Bachelor's Degree,1,Suburban,Healthcare,Web Developer,Remote,45426.05
High School,33,Urban,Education,Medical Assistant,Hybrid,78149.8
Bachelor's Degree,23,Urban,Finance,UX Designer,Onsite,72071.14
High School,16,Rural,Tech,UX Designer,Hybrid,54751.51
High School,24,Suburban,Tech,Project Manager,Hybrid,59557.76
Master's Degree,36,Suburban,Finance,Data Analyst,Remote,97504.09
Bachelor's Degree,35,Urban,Finance,Data Analyst,Remote,92155.1
PhD,22,Urban,Finance,Project Manager,Remote,70108.92
Master's Degree,30,Rural,Healthcare,UX Designer,Hybrid,93327.37
Master's Degree,9,Urban,Tech,Accountant,Remote,63571.85
PhD,1,Rural,Healthcare,Software Engineer,Onsite,47236.04
High School,20,Suburban,Education,HR Manager,Remote,61887.29
Master's Degree,38,Suburban,Finance,Data Analyst,Onsite,99466.59
High School,32,Rural,Education,Professor,Onsite,78924.18
Master's Degree,16,Rural,Healthcare,HR Manager,Hybrid,61599.39
High School,8,Urban,Tech,Financial Analyst,Remote,58492.34
Master's Degree,39,Rural,Tech,Web Developer,Onsite,100998.69
PhD,29,Rural,Finance,Others,Onsite,91162.98
High School,16,Rural,Tech,Web Developer,Remote,57888.51
PhD,18,Suburban,Tech,Software Engineer,Onsite,65323.28
High School,15,Rural,Education,Financial Analyst,Hybrid,44867.24
Bachelor's Degree,40,Urban,Finance,Accountant,Onsite,96710.48
High School,22,Rural,Tech,Project Manager,Hybrid,59335.3
Master's Degree,8,Suburban,Education,UX Designer,Hybrid,50192.7
Master's Degree,22,Urban,Finance,Professor,Onsite,81783.17
Master's Degree,16,Rural,Healthcare,UX Designer,Onsite,50437.55
PhD,33,Suburban,Tech,HR Manager,Hybrid,93194.86
Master's Degree,3,Urban,Finance,Financial Analyst,Remote,50174.92
Bachelor's Degree,32,Urban,Finance,Others,Hybrid,79529.48
Bachelor's Degree,29,Suburban,Healthcare,Data Analyst,Onsite,66641.92
Master's Degree,38,Rural,Education,Software Engineer,Remote,99878.61
PhD,9,Rural,Tech,Web Developer,Remote,58723.88
High School,29,Urban,Healthcare,UX Designer,Hybrid,77772.82
High School,24,Urban,Tech,Financial Analyst,Onsite,71720.19
High School,23,Suburban,Finance,System Administrator,Remote,70315.39
Master's Degree,23,Suburban,Finance,Data Analyst,Remote,69837.36
Master's Degree,3,Suburban,Education,Professor,Remote,53335.51
High School,9,Suburban,Finance,Financial Analyst,Hybrid,51605.54
High School,2,Rural,Tech,System Administrator,Hybrid,31133.0
Bachelor's Degree,17,Rural,Tech,UX Designer,Onsite,54632.15
PhD,34,Rural,Tech,UX Designer,Remote,110786.88
Bachelor's Degree,36,Rural,Healthcare,Financial Analyst,Onsite,93689.19
Master's Degree,27,Urban,Tech,Medical Assistant,Remote,88033.67
Master's Degree,33,Suburban,Finance,UX Designer,Onsite,88496.44
High School,25,Rural,Finance,System Administrator,Remote,75037.47
Master's Degree,39,Rural,Education,HR Manager,Remote,101679.47
High School,32,Rural,Education,Medical Assistant,Remote,79668.81
High School,24,Urban,Finance,Professor,Onsite,66656.82
Master's Degree,37,Suburban,Tech,HR Manager,Remote,97664.41
Master's Degree,29,Suburban,Healthcare,Data Analyst,Hybrid,84233.57
Bachelor's Degree,12,Urban,Education,Web Developer,Hybrid,59088.76
High School,40,Urban,Education,Data Analyst,Remote,87553.03
Master's Degree,5,Suburban,Finance,Web Developer,Hybrid,53431.94
PhD,14,Rural,Tech,Project Manager,Hybrid,64818.24
PhD,26,Urban,Education,Project Manager,Remote,79950.21
Bachelor's Degree,17,Rural,Finance,Others,Onsite,65325.07
Master's Degree,11,Suburban,Tech,HR Manager,Remote,58844.81
Master's Degree,10,Rural,Healthcare,Accountant,Hybrid,44823.8
Bachelor's Degree,33,Urban,Education,Software Engineer,Onsite,80350.65
Master's Degree,28,Urban,Healthcare,Professor,Hybrid,83111.3
Master's Degree,13,Rural,Healthcare,HR Manager,Onsite,62751.01
PhD,36,Suburban,Education,Project Manager,Onsite,98504.12
High School,4,Suburban,Healthcare,Software Engineer,Hybrid,34793.82
High School,34,Urban,Tech,UX Designer,Hybrid,84760.28
Master's Degree,15,Suburban,Education,Others,Hybrid,61706.72
Bachelor's Degree,6,Suburban,Tech,Others,Remote,41066.79
PhD,2,Rural,Healthcare,Financial Analyst,Hybrid,44618.04
Bachelor's Degree,21,Rural,Tech,System Administrator,Hybrid,75504.7
PhD,7,Suburban,Education,Software Engineer,Remote,57634.83
Bachelor's Degree,30,Rural,Education,HR Manager,Remote,79559.2
High School,32,Rural,Tech,UX Designer,Onsite,73165.12
High School,11,Urban,Finance,Project Manager,Hybrid,48261.44
PhD,19,Urban,Finance,UX Designer,Hybrid,76541.91
High School,40,Urban,Finance,Software Engineer,Remote,84791.33
PhD,25,Rural,Healthcare,Data Analyst,Hybrid,91488.43
Bachelor's Degree,14,Rural,Finance,Web Developer,Remote,62204.21
PhD,10,Urban,Healthcare,HR Manager,Hybrid,70508.48
Master's Degree,31,Urban,Finance,Others,Hybrid,95415.73
PhD,19,Rural,Healthcare,HR Manager,Onsite,80086.97
Bachelor's Degree,2,Suburban,Tech,Others,Hybrid,38988.0
Bachelor's Degree,10,Rural,Finance,Others,Onsite,48508.48
Master's Degree,18,Suburban,Finance,Professor,Remote,80818.28
PhD,28,Suburban,Tech,Web Developer,Onsite,80443.89
PhD,40,Suburban,Healthcare,Others,Hybrid,110992.22
Master's Degree,34,Urban,Tech,Project Manager,Onsite,95411.36
High School,29,Urban,Healthcare,Accountant,Remote,76400.5
PhD,19,Urban,Education,Others,Hybrid,76622.26
PhD,33,Rural,Healthcare,Data Analyst,Hybrid,99735.49
Master's Degree,11,Suburban,Tech,Data Analyst,Remote,56372.19
PhD,35,Rural,Healthcare,Accountant,Hybrid,99479.02
Bachelor's Degree,1,Suburban,Tech,System Administrator,Hybrid,28247.54
PhD,13,Suburban,Tech,Professor,Hybrid,64247.89
Master's Degree,5,Urban,Healthcare,Financial Analyst,Remote,57735.05
High School,0,Urban,Healthcare,HR Manager,Hybrid,30523.69
Master's Degree,13,Rural,Tech,Accountant,Hybrid,58682.66
PhD,11,Urban,Tech,Project Manager,Remote,60774.11
Master's Degree,36,Suburban,Tech,Others,Remote,100536.06
PhD,27,Suburban,Healthcare,Project Manager,Onsite,90351.49
High School,19,Rural,Finance,Data Analyst,Remote,65138.15
High School,0,Suburban,Healthcare,Project Manager,Remote,33259.73
High School,4,Urban,Tech,Medical Assistant,Hybrid,33594.46
Bachelor's Degree,23,Suburban,Healthcare,Data Analyst,Remote,80579.79
Bachelor's Degree,28,Urban,Healthcare,UX Designer,Onsite,68392.22
Bachelor's Degree,19,Suburban,Education,Professor,Hybrid,64964.97
Bachelor's Degree,7,Rural,Tech,Software Engineer,Onsite,42381.16
High School,21,Suburban,Finance,Software Engineer,Onsite,71070.16
Master's Degree,25,Suburban,Finance,Data Analyst,Hybrid,82314.83
PhD,11,Suburban,Education,Financial Analyst,Hybrid,63038.1
PhD,32,Urban,Healthcare,System Administrator,Remote,88745.3
Bachelor's Degree,5,Suburban,Tech,Software Engineer,Remote,50217.32
High School,12,Urban,Tech,Financial Analyst,Onsite,48779.22
Bachelor's Degree,3,Rural,Healthcare,Project Manager,Hybrid,44320.44
Bachelor's Degree,12,Urban,Healthcare,Medical Assistant,Remote,57249.72
Bachelor's Degree,6,Urban,Tech,Software Engineer,Hybrid,46627.88
Master's Degree,14,Urban,Healthcare,Others,Remote,58236.36
High School,34,Rural,Finance,HR Manager,Onsite,79482.32
PhD,13,Rural,Finance,Financial Analyst,Onsite,67611.98
Bachelor's Degree,5,Urban,Tech,Accountant,Remote,47792.01
PhD,4,Rural,Education,System Administrator,Onsite,62643.1
PhD,22,Rural,Finance,Data Analyst,Onsite,81625.76
Master's Degree,20,Suburban,Healthcare,Web Developer,Onsite,64066.51
PhD,20,Urban,Finance,Medical Assistant,Hybrid,84653.66
Bachelor's Degree,3,Urban,Education,HR Manager,Remote,45399.47
PhD,35,Rural,Finance,Data Analyst,Remote,107460.01
High School,3,Rural,Tech,HR Manager,Onsite,29654.0
High School,30,Suburban,Healthcare,UX Designer,Remote,80755.19
Bachelor's Degree,35,Rural,Healthcare,Project Manager,Remote,92885.02
Master's Degree,12,Suburban,Finance,Project Manager,Remote,49615.44
Bachelor's Degree,27,Urban,Finance,Financial Analyst,Onsite,70486.97
High School,7,Urban,Finance,HR Manager,Remote,54247.88
PhD,23,Suburban,Education,Others,Onsite,76132.55
PhD,9,Urban,Healthcare,Data Analyst,Remote,64894.97
Master's Degree,34,Rural,Tech,Web Developer,Remote,100122.92
PhD,10,Rural,Tech,Financial Analyst,Hybrid,68116.98
High School,1,Suburban,Healthcare,System Administrator,Hybrid,24321.91
Master's Degree,40,Urban,Healthcare,Web Developer,Hybrid,92434.47
Master's Degree,3,Rural,Finance,Accountant,Onsite,40756.82
High School,32,Suburban,Tech,UX Designer,Remote,85340.52
Master's Degree,5,Urban,Healthcare,Professor,Remote,48704.8
High School,26,Urban,Education,Project Manager,Hybrid,71167.29
Master's Degree,2,Rural,Finance,Data Analyst,Onsite,35502.06
Master's Degree,33,Suburban,Finance,Professor,Hybrid,82851.78
PhD,35,Urban,Tech,Financial Analyst,Onsite,94925.2
High School,15,Urban,Education,Others,Onsite,54906.38
PhD,29,Urban,Healthcare,Others,Onsite,90864.98
High School,29,Urban,Education,Project Manager,Hybrid,79400.39
Bachelor's Degree,7,Suburban,Education,Software Engineer,Remote,51018.68
Bachelor's Degree,13,Urban,Healthcare,Data Analyst,Remote,62411.98
Bachelor's Degree,40,Urban,Finance,HR Manager,Remote,90818.97
PhD,22,Rural,Education,Data Analyst,Onsite,80539.96
Bachelor's Degree,34,Rural,Healthcare,Project Manager,Remote,89130.61
High School,37,Rural,Tech,Medical Assistant,Hybrid,73157.29
PhD,29,Rural,Finance,Medical Assistant,Onsite,85964.38
High School,34,Rural,Healthcare,Data Analyst,Onsite,79818.23
Bachelor's Degree,13,Rural,Education,Accountant,Remote,53889.09
High School,35,Suburban,Finance,Software Engineer,Hybrid,95646.06
PhD,2,Suburban,Tech,Project Manager,Remote,47002.31
High School,33,Urban,Healthcare,Professor,Remote,86257.74
PhD,11,Urban,Healthcare,Professor,Hybrid,67128.83
PhD,28,Suburban,Finance,Data Analyst,Onsite,84705.22
Master's Degree,30,Suburban,Tech,Medical Assistant,Hybrid,81556.67
Master's Degree,30,Suburban,Tech,Web Developer,Onsite,84686.72
High School,34,Urban,Tech,Others,Hybrid,79151.16
PhD,32,Suburban,Education,Software Engineer,Remote,93197.72
Master's Degree,28,Rural,Healthcare,Data Analyst,Onsite,79837.34
PhD,34,Suburban,Healthcare,Others,Hybrid,102635.39
Bachelor's Degree,6,Urban,Tech,Project Manager,Remote,48850.55
Master's Degree,20,Rural,Finance,System Administrator,Hybrid,69128.43
Master's Degree,38,Urban,Tech,System Administrator,Hybrid,94029.47
PhD,10,Suburban,Tech,Professor,Onsite,59845.31
High School,25,Rural,Education,Data Analyst,Hybrid,55986.52
PhD,28,Rural,Finance,System Administrator,Hybrid,84775.27
High School,40,Urban,Education,Financial Analyst,Remote,91971.92
High School,32,Rural,Finance,Accountant,Remote,90130.05
PhD,10,Suburban,Finance,UX Designer,Onsite,52452.89
High School,22,Urban,Healthcare,System Administrator,Remote,66621.36
Master's Degree,36,Urban,Education,Financial Analyst,Onsite,94173.39
PhD,34,Urban,Tech,Professor,Remote,101923.4
PhD,30,Rural,Education,HR Manager,Onsite,84616.7
High School,29,Rural,Education,UX Designer,Hybrid,64606.85
Bachelor's Degree,31,Urban,Healthcare,UX Designer,Remote,85443.32
High School,9,Urban,Education,Others,Onsite,44913.0
PhD,1,Rural,Tech,System Administrator,Onsite,58318.17
Bachelor's Degree,10,Rural,Healthcare,Software Engineer,Hybrid,52106.8
Master's Degree,8,Urban,Education,HR Manager,Hybrid,64281.04
Bachelor's Degree,29,Urban,Education,Medical Assistant,Hybrid,74983.96
High School,20,Suburban,Finance,Web Developer,Onsite,64187.81
High School,7,Rural,Education,Web Developer,Onsite,36431.77
PhD,31,Suburban,Education,Project Manager,Hybrid,93498.44
Master's Degree,30,Suburban,Healthcare,Web Developer,Remote,84743.22
Bachelor's Degree,36,Urban,Tech,UX Designer,Onsite,93827.55
High School,29,Suburban,Education,Financial Analyst,Remote,67696.19
Master's Degree,7,Rural,Finance,UX Designer,Remote,56195.66
PhD,39,Suburban,Education,Accountant,Hybrid,105208.15
Master's Degree,24,Rural,Tech,Web Developer,Onsite,73426.79
High School,8,Rural,Finance,Accountant,Hybrid,36448.88
Bachelor's Degree,11,Urban,Finance,Financial Analyst,Hybrid,57369.16
PhD,30,Suburban,Finance,UX Designer,Onsite,95610.88
High School,3,Suburban,Tech,Professor,Hybrid,35623.42
High School,37,Urban,Finance,UX Designer,Onsite,92162.95
High School,9,Rural,Finance,Professor,Remote,39277.21
Master's Degree,3,Urban,Finance,Medical Assistant,Remote,41193.6
PhD,3,Rural,Education,Data Analyst,Hybrid,46376.05
PhD,18,Urban,Healthcare,Medical Assistant,Hybrid,78139.25
PhD,11,Rural,Finance,Project Manager,Remote,64942.03
PhD,35,Rural,Healthcare,Software Engineer,Onsite,104887.65
High School,17,Suburban,Education,Software Engineer,Onsite,58588.35
High School,32,Urban,Finance,Professor,Onsite,83491.25
Master's Degree,14,Rural,Healthcare,Others,Onsite,62518.9
Bachelor's Degree,2,Urban,Healthcare,Software Engineer,Hybrid,33116.54
Bachelor's Degree,5,Urban,Healthcare,Medical Assistant,Remote,44582.94
PhD,36,Urban,Tech,Accountant,Remote,97495.49
PhD,5,Rural,Education,Web Developer,Onsite,38143.59
High School,35,Rural,Tech,Project Manager,Hybrid,81695.48
PhD,30,Urban,Education,System Administrator,Hybrid,96431.65
Bachelor's Degree,15,Rural,Healthcare,Accountant,Remote,57036.69
High School,5,Urban,Tech,Professor,Onsite,40008.22
High School,26,Suburban,Finance,Data Analyst,Onsite,63344.87
PhD,23,Suburban,Education,Web Developer,Remote,81952.25
PhD,13,Urban,Tech,Accountant,Remote,66479.94
Bachelor's Degree,4,Suburban,Healthcare,Accountant,Remote,37334.21
High School,20,Urban,Tech,Financial Analyst,Remote,77073.95
Bachelor's Degree,3,Suburban,Finance,Financial Analyst,Onsite,41849.99
PhD,33,Rural,Healthcare,Financial Analyst,Onsite,104073.56
Bachelor's Degree,16,Rural,Finance,Project Manager,Hybrid,52668.3
Bachelor's Degree,21,Urban,Finance,Accountant,Hybrid,68210.08
PhD,38,Rural,Education,UX Designer,Onsite,108986.13
Bachelor's Degree,34,Suburban,Healthcare,Software Engineer,Onsite,86285.07
High School,19,Rural,Healthcare,Professor,Hybrid,60288.12
PhD,27,Rural,Healthcare,Financial Analyst,Hybrid,81313.4
PhD,25,Urban,Healthcare,Data Analyst,Remote,86157.66
PhD,32,Rural,Education,Medical Assistant,Hybrid,89515.3
Master's Degree,22,Urban,Healthcare,Data Analyst,Onsite,75566.35
PhD,27,Urban,Education,System Administrator,Remote,83308.61
PhD,8,Suburban,Healthcare,UX Designer,Hybrid,59423.66
PhD,1,Suburban,Education,Medical Assistant,Remote,45268.22
Master's Degree,26,Rural,Healthcare,UX Designer,Hybrid,77326.12
PhD,7,Urban,Education,Others,Onsite,55481.76
High School,3,Rural,Finance,Project Manager,Onsite,35457.6
Bachelor's Degree,15,Urban,Healthcare,Web Developer,Remote,63706.19
High School,29,Urban,Finance,Professor,Hybrid,77449.43
Master's Degree,32,Urban,Education,Data Analyst,Hybrid,86138.15
Bachelor's Degree,4,Suburban,Tech,Others,Remote,46418.86
Bachelor's Degree,18,Urban,Healthcare,Data Analyst,Onsite,62822.92
PhD,8,Urban,Education,Data Analyst,Hybrid,56508.19
Bachelor's Degree,20,Rural,Finance,Software Engineer,Remote,72963.44
Master's Degree,33,Urban,Healthcare,Data Analyst,Hybrid,85789.35
PhD,21,Urban,Tech,Others,Onsite,88574.39
